user_trust_score,seller_rating,product_avg_rating,user_rating,is_suspicious
0.21400000000000002,0.952,0.65,0.6,0
0.41600000000000004,0.366,0.8099999999999999,0.6,0
0.8140000000000001,0.924,0.294,0.6,0
0.9400000000000001,0.8,0.434,0.8,0
0.834,0.45,0.982,0.6,0
0.45199999999999996,0.634,0.5940000000000001,0.8,0
0.27999999999999997,0.712,0.6980000000000001,0.8,0
0.808,0.9179999999999999,0.414,1.0,0
0.414,0.8640000000000001,0.634,1.0,0
0.362,0.6980000000000001,0.982,1.0,0
0.45599999999999996,0.998,0.722,0.2,0
0.398,0.696,0.974,0.6,0
0.642,0.794,0.5599999999999999,0.4,0
0.61,0.74,0.766,1.0,0
0.5980000000000001,0.51,0.772,0.6,0
0.324,0.294,0.442,0.8,0
0.808,0.568,0.634,0.2,0
0.82,0.79,0.5660000000000001,0.4,0
0.866,0.564,0.74,1.0,0
0.508,0.21800000000000003,0.764,1.0,0
0.65,0.8939999999999999,0.794,0.6,0
0.558,0.6719999999999999,0.454,0.2,0
0.704,0.8699999999999999,0.518,0.2,0
0.992,0.442,0.8460000000000001,0.6,0
0.438,0.716,0.8539999999999999,0.6,0
0.9179999999999999,0.362,0.626,0.4,0
0.462,0.628,0.372,0.6,0
0.356,0.33199999999999996,0.8140000000000001,0.8,0
0.318,0.93,0.24,0.6,0
0.36,0.404,0.242,0.2,0
0.736,0.322,0.58,0.8,0
0.274,0.662,0.404,1.0,0
0.47000000000000003,0.716,0.892,0.2,0
0.8560000000000001,0.6519999999999999,0.43,0.6,0
0.568,0.584,0.22799999999999998,0.2,0
0.9640000000000001,0.22799999999999998,0.9279999999999999,0.6,0
0.696,0.538,0.51,0.8,0
0.834,0.962,0.9179999999999999,0.8,0
0.688,0.64,0.386,0.8,0
0.298,0.5820000000000001,0.502,0.6,0
0.5519999999999999,0.944,0.262,0.2,0
0.884,0.618,0.21200000000000002,0.2,0
0.714,0.53,0.248,0.2,0
0.418,0.8960000000000001,0.908,0.4,1
0.6980000000000001,0.932,0.658,0.8,0
0.8099999999999999,0.476,0.728,1.0,0
0.584,0.808,0.608,0.6,0
0.704,0.792,0.40199999999999997,1.0,0
0.202,0.602,0.47400000000000003,0.2,0
0.722,0.788,0.648,0.6,0
0.624,0.354,0.696,0.6,0
0.40800000000000003,0.8099999999999999,0.5900000000000001,0.4,0
0.242,0.38,0.284,0.6,0
0.892,0.712,0.632,0.6,0
0.45999999999999996,0.45,0.78,0.8,0
0.6980000000000001,0.73,0.322,0.4,0
0.43200000000000005,0.538,0.688,0.4,0
0.20800000000000002,0.528,0.716,0.6,0
0.958,0.512,0.572,1.0,0
0.852,0.33599999999999997,0.388,0.4,0
0.558,0.82,0.792,0.2,0
0.944,0.8400000000000001,0.248,0.4,0
0.884,0.396,0.42400000000000004,0.6,0
0.298,0.3,0.784,0.2,0
0.644,0.374,0.622,1.0,0
0.626,0.76,0.782,0.6,0
0.976,0.54,0.37,0.6,0
0.86,0.696,0.636,0.2,0
0.866,0.534,0.608,0.6,0
0.96,0.782,0.316,0.6,0
0.646,0.662,0.618,1.0,0
0.242,0.8800000000000001,0.654,0.4,0
0.624,0.768,0.41600000000000004,0.4,0
0.9380000000000001,0.536,0.588,0.8,0
0.292,0.466,0.844,0.6,0
0.736,0.542,0.8019999999999999,1.0,0
0.40199999999999997,0.29,0.8859999999999999,0.6,0
0.22000000000000003,0.65,0.644,0.6,0
0.638,0.288,0.9380000000000001,0.6,0
0.682,0.908,0.994,1.0,0
0.836,0.842,0.6799999999999999,1.0,0
0.726,0.646,0.818,0.8,0
0.722,0.678,0.982,0.4,0
0.8640000000000001,0.764,0.844,0.6,0
0.8640000000000001,0.686,0.31,0.6,0
0.368,0.924,0.25,0.2,0
0.714,0.8039999999999999,0.372,0.2,0
0.296,0.23399999999999999,0.318,1.0,0
0.6679999999999999,0.732,0.8880000000000001,0.4,0
0.73,0.788,0.256,0.6,0
0.764,0.404,0.8140000000000001,0.8,0
0.786,0.22999999999999998,0.606,0.6,0
0.22400000000000003,0.44400000000000006,0.858,0.8,0
0.5660000000000001,0.624,0.304,0.2,0
0.312,0.794,0.54,0.2,0
0.554,0.6980000000000001,0.65,0.8,0
0.704,0.9480000000000001,0.476,0.8,0
0.536,0.292,0.21400000000000002,0.6,0
0.40199999999999997,0.526,0.364,0.6,0
0.922,0.584,0.644,0.2,0
0.274,0.45,0.588,0.2,0
0.968,0.8539999999999999,0.784,0.4,1
0.476,0.538,0.512,0.2,0
0.202,0.9019999999999999,0.316,0.6,0
0.33399999999999996,0.616,0.532,0.4,0
0.422,0.998,0.766,0.4,1
0.898,0.8,0.778,0.4,1
0.318,0.576,0.26,0.6,0
0.772,0.686,0.236,0.6,0
0.352,0.22799999999999998,0.414,0.6,0
0.286,0.262,0.966,0.4,0
0.8300000000000001,0.246,0.392,1.0,0
0.8779999999999999,0.33599999999999997,0.682,0.8,0
0.79,0.8140000000000001,0.536,0.2,0
0.294,0.542,0.516,0.6,0
0.52,0.568,0.27999999999999997,1.0,0
0.202,0.242,0.202,0.4,0
0.21200000000000002,0.22200000000000003,0.77,0.8,0
0.9560000000000001,0.426,0.86,0.6,0
0.534,0.8039999999999999,0.9339999999999999,0.8,0
0.43600000000000005,0.966,0.79,0.2,1
0.998,0.39,0.27799999999999997,0.2,0
0.422,0.942,0.6,0.6,0
0.262,0.682,0.8699999999999999,0.6,0
0.426,0.79,0.834,0.4,1
0.438,0.952,0.8220000000000001,0.6,0
0.20800000000000002,0.766,0.22999999999999998,0.4,0
0.22999999999999998,0.21200000000000002,0.7,0.4,0
0.736,0.324,0.262,0.6,0
0.458,0.32,0.282,0.8,0
0.21800000000000003,0.634,0.774,0.2,0
0.558,0.782,0.442,0.6,0
0.526,0.8720000000000001,0.842,0.8,0
0.716,0.8400000000000001,0.544,0.4,0
0.968,0.8300000000000001,0.43200000000000005,0.8,0
0.8039999999999999,0.41200000000000003,0.296,0.6,0
0.584,0.732,0.324,0.4,0
0.634,0.542,0.21200000000000002,1.0,0
0.922,0.654,0.992,0.6,0
0.95,0.8480000000000001,0.628,0.6,0
0.85,0.27799999999999997,0.644,0.8,0
0.37,0.308,0.384,0.6,0
0.6519999999999999,0.54,0.45999999999999996,1.0,0
0.782,0.274,0.42000000000000004,0.8,0
0.674,0.268,0.384,0.6,0
0.976,0.438,0.43600000000000005,0.6,0
0.916,0.76,0.686,0.4,0
0.558,0.5559999999999999,0.202,0.2,0
